id,Comments,Gender,Reason
1,"部屋は清潔でした。","女性","レジャー"
2,"何もない","女性","ビジネス"
3,"コストパフォーマンスに優れている","男性","レジャー"
4,"駐車場が小さすぎます。 客室内に無料Wi-Fiはありません。 子供用のベビーベッドがありません。","女性","レジャー"
5,"快適な客室, 素晴らしい朝食, 素晴らしいサービス","男性","ビジネス"
6,"ビーチ沿いの静かなロケーション。","女性","ビジネス"
7,"快適なサービス","女性","レジャー"
8,"美しい田園地帯と海の景色。","男性","レジャー"
9,"美しい場所","女性","ビジネス"
10,"サービス, 部屋とバスルームの清潔さと整頓性。 豊富で想像力豊かな朝食ビュッフェ","女性","ビジネス"
11,"優れたサービス","男性","ビジネス"
12,"ビーチ沿いの素晴らしいロケーション, 多様な遠足の提供, 種類豊富なビュッフェ, フレンドリーなサービススタッフ","男性","ビジネス"
13,"フレンドリーなルームサービス, 親切なスタッフ","女性","レジャー"
14,"ホテルのスタッフはいつもとても丁寧でした。 朝食ビュッフェは非常に単調でした,  毎朝同じものが提供され、新鮮な果物はありませんでした","女性","レジャー"
15,"清潔なホテル, しかし部屋は小さいです。","男性","ビジネス"
16,"サンテラスは素晴らしかった, スパもとても良かったです。","女性","ビジネス"
17,"とても静か, しかし非常に高価","男性","レジャー"
18,"朝食ビュッフェ, 豪華なバスルーム。 スタッフの親切さ, ツアーガイド","女性","ビジネス"
19,"優れた価格/品質比, 部屋の素晴らしい技術設備, 夜はうるさい","男性","レジャー"
20,"フレンドリーなサービス,  ホテル全体が静かで清潔でした。 ベッドは少し小さすぎました, 伸びることができませんでした。","男性","レジャー"
21,"サービス, 静かな場所, 客室設備, 駐車場はありません","男性","レジャー"
22,"朝食ビュッフェのセレクション, 部屋の大きさが良かった, 親切なスタッフ","女性","レジャー"
23,"素敵な雰囲気, 素晴らしい装飾, 素晴らしいサービスですが、朝食の時間が限られています。","女性","ビジネス"
24,"朝食ビュッフェ, ラウンジ, 良いサービス","女性","レジャー"
25,"おいしい料理を楽しみました, フレンドリーなスタッフ, 部屋, 清潔さ, 景色, 市内中心部への近さ,  ビーチ, 海, 輸送, アクセシビリティ","男性","ビジネス"
26,"妻と私は部屋の広さに満足しました, ラウンジ, スパとレストラン。","男性","レジャー"
27,"部屋とサービスに満足しました","男性","ビジネス"
28,"良いサービス","女性","レジャー"
29,"部屋は小さいですが居心地が良いです。 素晴らしいレストランです。","男性","ビジネス"
30,"小さいながらも居心地の良い部屋です。 しかし、夜間のポーターは非常に不快でした","女性","ビジネス"
31,"部屋の装飾が素晴らしく、スタッフも親切でした。","男性","ビジネス"
32,"すべて順調でした。 ホテルは良い状態でした","女性","レジャー"
33,"価格性能比は適切です。 ロケーションは最高です。 ","女性","レジャー"
34,"部屋はとてもよく整っています","男性","ビジネス"
35,"景色は素晴らしいです！ 素晴らしい改装","女性","レジャー"
36,"ホテルの立地は本当に最高です。 スタッフの質が悪い","女性","レジャー"
37,"部屋は新しく改装されました, とても広くて清潔です。 価格は手頃です。","女性","レジャー"
38,"価格とパフォーマンスのバランスが良いホテル, しかしエアコンは個別に調節できない","男性","ビジネス"
39,"宿泊施設にとても満足しました, 場所とサービス。 その上, 部屋は非常に清潔でした。 私たちは戻ります","女性","レジャー"
40,"中心部に位置する、非常に手入れの行き届いた家。","女性","レジャー"
41,"強くお勧めします","男性","ビジネス"
42,"ホテルのスタッフはとてもフレンドリーで親切でした。","男性","レジャー"
43,"ホテルはとても満足できるものでした。","女性","ビジネス"
44,"価格は本当に素晴らしかった","男性","ビジネス"
45,"部屋はとても清潔で広々としています。","女性","ビジネス"
46,"ホテルはとても静かです, しかし、部屋は毎日掃除されませんでした。","女性","レジャー"
47,"スタッフはフレンドリーで親切でした。","男性","レジャー"
48,"フレンドリーで丁寧なスタッフ。","男性","ビジネス"
49,"私たちはすぐに安心しました, まるで家にいるみたい。","男性","ビジネス"
50,"とても美しい。 スイートは設備が整っていてとても素敵です。","男性","レジャー"
51,"とてもよく運営されているホテル","男性","レジャー"
52,"静かなホテル","女性","ビジネス"
53,"とても静かなホテル","男性","ビジネス"
54,"このホテルを強くお勧めします。 とても素敵で親切なサービスでした。","男性","レジャー"
55,"美しい景色の中にある素晴らしいホテル","男性","レジャー"
56,"素晴らしいロケーション。","女性","レジャー"
57,"このホテルは静けさを求める人にとっては夢のような場所です。","男性","レジャー"
58,"部屋はとてもよく整備されていて清潔です","女性","レジャー"
59,"とても手入れの行き届いたホテルです。","女性","ビジネス"
60,"コストパフォーマンスに優れている","女性","レジャー"
61,"このホテルはあらゆる点で必見です：清潔さ, 食品の質と種類","女性","レジャー"
62,"家族向け, 静かな, クリーン。","女性","レジャー"
63,"常に品質の向上に努めています。","男性","ビジネス"
64,"サービスはよかったです。","女性","レジャー"
65,"サービスはよかったです。","男性","ビジネス"
66,"素晴らしくてとても安いルームサービス","女性","レジャー"
67,"品質と衛生状態が良い","女性","ビジネス"
68,"ビュッフェの品揃えがとても良いです。","女性","ビジネス"
69,"朝食には様々な料理が並びます。","女性","レジャー"
70,"部屋は良かった, 清潔で手入れが行き届いています。 エアコンは調節可能です。","男性","ビジネス"
71,"アパートは設備が整っています。","男性","ビジネス"
72,"バスルームは大丈夫でした。","男性","レジャー"
73,"価格性能比は素晴らしいです！","男性","レジャー"
74,"お金に見合う価値が超あります!","女性","レジャー"
75,"私たちは食べ物に嬉しい驚きを覚えました。 ビュッフェ式朝食はいつも豊富で美味しかったです","男性","レジャー"
76,"ホテルはとても静かです。 私にとって, それは最適でした。","男性","ビジネス"
77,"部屋は大丈夫。","男性","ビジネス"
78,"プールはいいです, 常に清潔で、サンラウンジャーもいつでもご利用いただけます。","男性","レジャー"
79,"お子様に最適","女性","レジャー"
80,"完璧なロケーション, 優秀なスタッフ。 コストパフォーマンスに優れている","男性","ビジネス"
81,"すべてが素晴らしかったです。","男性","ビジネス"
82,"とても清潔な施設と美しいアパート。","男性","レジャー"
83,"食べ物は素晴らしくて美味しかったです。","女性","ビジネス"
84,"プールはきれいです","女性","レジャー"
85,"全体的にはきれいな場所での素敵な休暇でした, フレンドリーな環境。","男性","レジャー"
86,"スタッフはとてもフレンドリーで親切です","男性","ビジネス"
87,"部屋はとてもモダンで快適で、バスルームも広かったです。","男性","レジャー"
88,"全体として, ホテルは1週間とても良かったです, したがって強くお勧めします。","男性","レジャー"
89,"素晴らしいロケーション。 これまで宿泊したホテルの中で最高のホテルの一つです。","男性","レジャー"
90,"良い場所です。","女性","ビジネス"
91,"場所。","男性","ビジネス"
92,"寝具の品質は劣っていました","男性","レジャー"
93,"この場所をお勧めします","女性","レジャー"
94,"きちんとした清潔なホテル。 素晴らしいアップグレード","男性","レジャー"
95,"きちんとしたホテル","女性","ビジネス"
96,"ちゃんとした, 清潔なホテル","男性","レジャー"
97,"清潔なホテル","男性","レジャー"
98,"技術的なサービスは申し分ありませんでした。","男性","レジャー"
99,"とても美味しい料理","女性","ビジネス"
100,"とてもフレンドリーな対応, しかし、バスルームに悪臭がしました。","男性","レジャー"
101,"素晴らしいサービス, 食事と部屋。","女性","レジャー"
102,"素晴らしい屋内プールとスパ設備","女性","ビジネス"
103,"とても広々とした部屋","女性","ビジネス"
104,"おいしい朝食。 全体的にサービスにとても満足しました","男性","レジャー"
105,"とても良いスタッフ","男性","ビジネス"
106,"とてもフレンドリーで丁寧なサービスに感謝したいと思います。","男性","レジャー"
107,"食べ物は美味しくて種類も豊富でした","男性","ビジネス"
108,"素晴らしいロケーションにある美しいホテル。","女性","レジャー"
109,"静かなホテル","男性","ビジネス"
110,"無料インターネットはありません。 無料のテレビはありません。 部屋が狭すぎる","男性","ビジネス"
111,"部屋は臭くて狭かった","女性","ビジネス"
112,"親切なスタッフ","男性","レジャー"
113,"初め, 良い価格, 第二に, フレンドリーなスタッフ","女性","レジャー"
114,"レストランの品揃えがとても良い","女性","ビジネス"
115,"ロケーションは最高","女性","ビジネス"
116,"親切なスタッフ","女性","レジャー"
117,"とても静か","女性","レジャー"
118,"夕食は素晴らしかったです。","女性","レジャー"
